item_id,movie_name_x,movie_type,movie_name_y,dbpedia_link,kg_id
2,Jumanji (1995),Adventure|Children's|Fantasy,Jumanji (1995),http://dbpedia.org/resource/Jumanji,9466
3,Grumpier Old Men (1995),Comedy|Romance,Grumpier Old Men (1995),http://dbpedia.org/resource/Grumpier_Old_Men,4013
4,Waiting to Exhale (1995),Comedy|Drama,Waiting to Exhale (1995),http://dbpedia.org/resource/Waiting_to_Exhale,13328
5,Father of the Bride Part II (1995),Comedy,Father of the Bride Part II (1995),http://dbpedia.org/resource/Father_of_the_Bride_Part_II,4871
6,Heat (1995),Action|Crime|Thriller,Heat (1995),http://dbpedia.org/resource/Heat_(1995_film),12873
7,Sabrina (1995),Comedy|Romance,Sabrina (1995),http://dbpedia.org/resource/Sabrina_(1995_film),7940
8,Tom and Huck (1995),Adventure|Children's,Tom and Huck (1995),http://dbpedia.org/resource/Tom_and_Huck,10171
10,GoldenEye (1995),Action|Adventure|Thriller,GoldenEye (1995),http://dbpedia.org/resource/GoldenEye,1056
11,"American President, The (1995)",Comedy|Drama|Romance,"American President, The (1995)",http://dbpedia.org/resource/The_American_President,4708
12,Dracula: Dead and Loving It (1995),Comedy|Horror,Dracula: Dead and Loving It (1995),http://dbpedia.org/resource/Dracula:_Dead_and_Loving_It,12726
13,Balto (1995),Animation|Children's,Balto (1995),http://dbpedia.org/resource/Balto_(film),4188
14,Nixon (1995),Drama,Nixon (1995),http://dbpedia.org/resource/Nixon_(film),7242
15,Cutthroat Island (1995),Action|Adventure|Romance,Cutthroat Island (1995),http://dbpedia.org/resource/Cutthroat_Island,9999
16,Casino (1995),Drama|Thriller,Casino (1995),http://dbpedia.org/resource/Casino_(film),8503
17,Sense and Sensibility (1995),Drama|Romance,Sense and Sensibility (1995),http://dbpedia.org/resource/Sense_and_Sensibility_(film),13481
18,Four Rooms (1995),Thriller,Four Rooms (1995),http://dbpedia.org/resource/Four_Rooms,12977
